NOME_MUN,REGIAO,N_MICRO,PIB
SAO JOAO D'ALIANCA,CENTRO-OESTE,CHAPADA DOS VEADEIROS,117358
NAZARIO,CENTRO-OESTE,ANICUNS,119887
BARRO ALTO,CENTRO-OESTE,CERES,124271
CAMPOS BELOS,CENTRO-OESTE,CHAPADA DOS VEADEIROS,124694
MONTES CLAROS DE GOIAS,CENTRO-OESTE,ARAGARCAS,126227
COCALZINHO DE GOIAS,CENTRO-OESTE,ENTORNO DE BRASILIA,127132
AGUA FRIA DE GOIAS,CENTRO-OESTE,ENTORNO DE BRASILIA,130834
CABECEIRAS,CENTRO-OESTE,ENTORNO DE BRASILIA,131769
SANTA FE DE GOIAS,CENTRO-OESTE,RIO VERMELHO,131884
PIRANHAS,CENTRO-OESTE,ARAGARCAS,132481
JANDAIA,CENTRO-OESTE,VALE DO RIO DOS BOIS,134635
CACHOEIRA ALTA,CENTRO-OESTE,QUIRINOPOLIS,137402
PORTEIRAO,CENTRO-OESTE,MEIA PONTE,150088
INDIARA,CENTRO-OESTE,VALE DO RIO DOS BOIS,151154
CARMO DO RIO VERDE,CENTRO-OESTE,CERES,151711
ITAPACI,CENTRO-OESTE,CERES,157141
CEZARINA,CENTRO-OESTE,VALE DO RIO DOS BOIS,161289
RIALMA,CENTRO-OESTE,CERES,169812
VIANOPOLIS,CENTRO-OESTE,PIRES DO RIO,171013
PIRENOPOLIS,CENTRO-OESTE,ENTORNO DE BRASILIA,172292
BURITI ALEGRE,CENTRO-OESTE,MEIA PONTE,172654
URUANA,CENTRO-OESTE,CERES,176373
PONTALINA,CENTRO-OESTE,MEIA PONTE,184775
RUBIATABA,CENTRO-OESTE,CERES,186176
PADRE BERNARDO,CENTRO-OESTE,ENTORNO DE BRASILIA,186986
CACU,CENTRO-OESTE,QUIRINOPOLIS,187191
NOVA CRIXAS,CENTRO-OESTE,SAO MIGUEL DO ARAGUAIA,187392
TURVELANDIA,CENTRO-OESTE,VALE DO RIO DOS BOIS,193626
SERRANOPOLIS,CENTRO-OESTE,SUDOESTE DE GOIAS,195874
PEROLANDIA,CENTRO-OESTE,SUDOESTE DE GOIAS,206860
OUVIDOR,CENTRO-OESTE,CATALAO,207117
HIDROLANDIA,CENTRO-OESTE,GOIANIA,211335
POSSE,CENTRO-OESTE,VAO DO PARANA,217710
CERES,CENTRO-OESTE,CERES,221446
CAMPO ALEGRE DE GOIAS,CENTRO-OESTE,CATALAO,223538
JUSSARA,CENTRO-OESTE,RIO VERMELHO,228360
ITAPURANGA,CENTRO-OESTE,CERES,228632
CRIXAS,CENTRO-OESTE,SAO MIGUEL DO ARAGUAIA,229310
ORIZONA,CENTRO-OESTE,PIRES DO RIO,237262
GOIAS,CENTRO-OESTE,RIO VERMELHO,243159
GOIANIRA,CENTRO-OESTE,GOIANIA,253841
SAO MIGUEL DO ARAGUAIA,CENTRO-OESTE,SAO MIGUEL DO ARAGUAIA,254224
IPORA,CENTRO-OESTE,IPORA,257998
